timestamp(s),c_head_temp(K),film_burner_temp(K),mainplate_temp(K),he_pump_temp(K),heat_sw_temp(K) 
8881.705268383026,+8.552386E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538300E+01
8887.50550031662,+8.552417E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8893.305732250214,+8.552447E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8899.105964183807,+8.552567E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8904.90619635582,+8.552399E-01,1.166000E+00,7.305000E+00,3.963000E+00,2.538400E+01
8910.706428289413,+8.552277E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538300E+01
8916.506660223007,+8.552509E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
8922.306892156601,+8.552611E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8928.107124328613,+8.552759E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8933.907356262207,+8.552680E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538300E+01
8939.7075881958,+8.552503E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8945.507820129395,+8.552212E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8951.308052301407,+8.552251E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8957.108284235,+8.552274E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8962.918516635895,+8.552458E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8968.708748102188,+8.552214E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8974.5089802742,+8.552388E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8980.309212446213,+8.552409E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
8986.119444608688,+8.552169E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
8992.079683065414,+8.552288E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
8997.90991640091,+8.552339E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9003.710148334503,+8.552651E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9009.520380496979,+8.552716E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9015.31061244011,+8.552626E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9021.120844602585,+8.552879E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9026.921076536179,+8.552505E-01,1.167000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9032.721308469772,+8.552677E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9038.7215487957,+8.552733E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9044.72178864479,+8.552623E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9050.542021512985,+8.552483E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9056.682266950607,+8.552747E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9062.492499351501,+8.552753E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9068.292731523514,+8.552856E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9074.092963457108,+8.552882E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9079.893195390701,+8.552760E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9085.703428030014,+8.552716E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9091.503659963608,+8.552579E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9097.303891897202,+8.552379E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9103.104123830795,+8.552167E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9108.904356002808,+8.552522E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538600E+01
9114.704587936401,+8.552664E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9120.504819869995,+8.552560E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9126.305051803589,+8.552584E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9132.44529747963,+8.552305E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9138.315532207489,+8.552236E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9144.105763912201,+8.552312E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9149.905995845795,+8.552212E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9155.706227779388,+8.552264E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9161.506459712982,+8.552374E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9167.306692123413,+8.552458E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9173.106924057007,+8.552290E-01,1.165000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9178.9071559906,+8.552120E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9184.707387924194,+8.552065E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9190.507620096207,+8.552327E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9196.3078520298,+8.552218E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538300E+01
9202.118084192276,+8.552399E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538300E+01
9207.908315896988,+8.552327E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9213.708548069,+8.552569E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538300E+01
9219.508780002594,+8.552535E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9225.309011936188,+8.552722E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9231.109243869781,+8.552591E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9236.909476041794,+8.552282E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9242.709707975388,+8.552498E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9248.509939908981,+8.553338E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9254.310171842575,+8.552410E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9260.170406341553,+8.552287E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9266.110643863678,+8.552190E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9271.910875797272,+8.552694E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9277.711107969284,+8.552413E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9283.511339902878,+8.552690E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9289.311571836472,+8.552626E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9295.111803770065,+8.552391E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9300.912035942078,+8.552149E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9306.712267875671,+8.552610E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9312.512499809265,+8.552509E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9318.32273221016,+8.552495E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9324.112963914871,+8.552255E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9329.913195848465,+8.552103E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9335.713427782059,+8.552341E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9341.513659715652,+8.552210E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9347.313892126083,+8.552298E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9353.114124059677,+8.552449E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9358.934356689453,+8.552542E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9364.714587926865,+8.552552E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538500E+01
9370.514820098877,+8.552744E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9376.345053195953,+8.552419E-01,1.166000E+00,7.306000E+00,3.962000E+00,2.538400E+01
9382.325292110443,+8.552201E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538500E+01
9388.115524053574,+8.552527E-01,1.165000E+00,7.305000E+00,3.962000E+00,2.538400E+01
9393.915755987167,+8.552328E-01,1.166000E+00,7.305000E+00,3.962000E+00,2.538400E+01
